id,elNum,abbr,phrase,meaning,usage,tags,category
4,4,St,A stone's throw (away),a short distance,as part of a sentence,noun,action
1,1,Bl,A blessing in disguise,a good thing that seemed bad at first,as part of a sentence,"[""verb"", ""happy"", ""advice""]",advice
6,6,,Don't give up your day job,You're not very good at this,by itself,,Advice
7,7,,Don't judge a book by its cover,,by itself,Books,Advice
8,8,,Don't put all your eggs in one basket,What you're doing is too risky,by itself,Animals,Advice
9,9,,Good things come to those who wait,Be patient,by itself,,Advice
10,10,,Slow and steady wins the race,Reliability is more important than speed,by itself,,Advice
5,5,Bh,A bird in the hand is worth two in the bush,What you have is worth more than what you might have later,by itself,advice,Animals
11,11,,Barking up the wrong tree,"To be mistaken, to be looking for solutions in the wrong place",as part of a sentence,,Animals
12,12,,Beat a dead horse,"Move on, this subject is over",by itself,,Animals
13,13,,Don't count your chickens before they hatch,Don't count on something good happening until it's happened.,by itself,Advice,Animals
14,14,,Every dog has his day,Everyone gets a chance at least once,by itself,,Animals
15,15,,Go on a wild goose chase,To do something pointless,as part of a sentence,,Animals
16,16,,Hair of the dog,,as part of a sentence,Dogs,Animals
17,17,,He has bigger fish to fry,He has bigger things to take care of than what we are talking about now,by itself,,Animals
18,18,,Hear something straight from the horse's mouth,Hear something from the person involved,as part of a sentence,,Animals
19,19,,It's raining cats and dogs,It's raining hard,by itself,,Animals
20,20,,Kill two birds with one stone,Get two things done with a single action,by itself,,Animals
21,21,,Let sleeping dogs lie,Stop discussing an issue,as part of a sentence,,Animals
22,22,,There are many ways to skin a cat,,by itself,,Animals
23,23,,Bite off more than you can chew,Take on a project that you cannot finish,as part of a sentence,,Body Parts
24,24,,Bite the bullet,To get something over with because it is inevitable,as part of a sentence,,Body Parts
25,25,,By the skin of your teeth,Just barely,as part of a sentence,,Body Parts
26,26,,Costs an arm and a leg,Very expensive,as part of a sentence,,Body Parts
27,27,,Get out of hand,Get out of control,as part of a sentence,,Body Parts
28,28,,Get something out of your system,Do the thing you've been wanting to do so you can move on,as part of a sentence,,Body Parts
29,29,,Give someone the cold shoulder,Ignore someone,as part of a sentence,,Body Parts
30,30,,Cat got your tongue?,Can't think of anything to say?,by itself,Cats,Body Parts
31,31,,Hit the nail on the head,Get something exactly right,by itself,,Body Parts
32,32,,Pull someone's leg,To joke with someone,as part of a sentence,,Body Parts
33,33,,A weight off your shoulders,,as part of a sentence,,Body Parts
34,34,,Achilles heel,,as part of a sentence,,Body Parts
