id,elNum,abbr,phrase,meaning,usage,tags,category,,
1,1,Bl,A blessing in disguise,a good thing that seemed bad at first,as part of a sentence,"[""verb"", ""happy"", ""advice""]",advice,,
2,2,Di,A dime a dozen,Something common,as part of a sentence,"money, numbers",Numbers,,
,,,Don't give up your day job,You're not very good at this,by itself,,Advice,,
,,,Don't judge a book by its cover,,,Books,Advice,,
,,,Don't put all your eggs in one basket,What you're doing is too risky,by itself,Animals,Advice,,
,,,Good things come to those who wait,Be patient,by itself,,Advice,,
,,,Slow and steady wins the race,Reliability is more important than speed,by itself,,Advice,,
5,5,Bh,A bird in the hand is worth two in the bush,What you have is worth more than what you might have later,by itself,advice,Animals,,
,,,Barking up the wrong tree,"To be mistaken, to be looking for solutions in the wrong place",as part of a sentence,,Animals,,
,,,Beat a dead horse,"Move on, this subject is over",by itself,,Animals,,
,,,Don't count your chickens before they hatch,Don't count on something good happening until it's happened.,by itself,Advice,Animals,,
,,,Every dog has his day,Everyone gets a chance at least once,by itself,,Animals,,
,,,Go on a wild goose chase,To do something pointless,as part of a sentence,,Animals,,
,,,Hair of the dog,,,Dogs,Animals,,
,,,He has bigger fish to fry,He has bigger things to take care of than what we are talking about now,by itself,,Animals,,
,,,Hear something straight from the horse's mouth,Hear something from the person involved,as part of a sentence,,Animals,,
,,,It's raining cats and dogs,It's raining hard,by itself,,Animals,,
,,,Kill two birds with one stone,Get two things done with a single action,by itself,,Animals,,
,,,Let sleeping dogs lie,Stop discussing an issue,as part of a sentence,,Animals,,
,,,There are many ways to skin a cat,,,,Animals,,
,,,Bite off more than you can chew,Take on a project that you cannot finish,as part of a sentence,,Body Parts,,
,,,Bite the bullet,To get something over with because it is inevitable,as part of a sentence,,Body Parts,,
,,,By the skin of your teeth,Just barely,as part of a sentence,,Body Parts,,
,,,Costs an arm and a leg,Very expensive,as part of a sentence,,Body Parts,,
,,,Get out of hand,Get out of control,as part of a sentence,,Body Parts,,
,,,Get something out of your system,Do the thing you've been wanting to do so you can move on,as part of a sentence,,Body Parts,,
,,,Give someone the cold shoulder,Ignore someone,as part of a sentence,,Body Parts,,
,,,Has the cat got your tongue?,,,Cats,Body Parts,,
,,,Hit the nail on the head,Get something exactly right,by itself,,Body Parts,,
,,,Pull someone's leg,To joke with someone,as part of a sentence,,Body Parts,,
,,,A weight off your shoulders,,,,Body Parts,,
,,,Achilles heel,,,,Body Parts,,
,,,Beauty is in the eye of the beholder,,,,Body Parts,,
,,,break a leg,,,,Body Parts,,
,,,Gut feeling,,,,Body Parts,,
,,,Hands are tied,,,,Body Parts,,
,,,Head start,,,,Body Parts,,
,,,Joined at the hip,,,,Body Parts,,
,,,Pain in the neck/ass,,,,Body Parts,,
,,,put your foot in your mouth,,,,Body Parts,,
,,,Sight for sore eyes,,,,Body Parts,,
,,,Weak at the knees,,,,Body Parts,,
,,,A picture is worth 1000 words,Better to show than tell,by itself,,Books,,
,,,An open book,,,Books,Books,,
,,,Make a long story short,Tell something briefly,as part of a sentence,,Books,,
,,,By the book,,,,Books,,
,,,Cook the books,,,,Books,,
,,,Read someone like a book,,,,Books,,
,,,Reading in between the lines,,,,Books,,
,,,The oldest trick in the book,,,,Books,,
,,,Curiosity killed the cat,Stop asking questions,by itself,,Cats,,
,,,Let the cat out of the bag,Give away a secret,as part of a sentence,,Cats,,
,,,Look like something the cat dragged in,,,,Cats,,
,,,"When the cat’s away, the mice will play",,,,Cats,,
,,Numbers,Do something at the drop of a hat,Do something without having planned beforehand,as part of a sentence,,Clothing,,
,,,A Mexican Standoff,,,,Country,,
,,,Irish Exit,,,,Country,,
,,,It’s all Greek to me,,,,Country,,
,,,When in rome,,,,Country,,
,,,Don't crying over spilt milk,There's no reason to complain about something that can't be fixed,by itself,,Food,,
,,,Get a taste of your own medicine,Get treated the way you've been treating others (negative),as part of a sentence,,Food,,
,,,It's a piece of cake,It's easy,by itself,,Food,,
,,,Like two peas in a pod,They're always together,as part of a sentence,,Food,,
,,,Out of the frying pan and into the fire,Things are going from bad to worse,by itself,Nature,Food,,
,,,Spill the beans,Give away a secret,as part of a sentence,,Food,,
,,,Take it with a grain of salt,Don’t take it too seriously,as part of a sentence,,Food,,
,,,A bad apple,,,,Fruits,,
,,,A Bite at the cherry,,,,Fruits,,
,,,A plum job,,,,Fruits,,
,,,An apple a day keeps the doctor away,Apples are good for you,by itself,,Fruits,,
,,,Comparing apples to oranges,Comparing two things that cannot be compared,as part of a sentence,,Fruits,,
,,,Go Bananas,,,,Fruits,,
,,,Go pear-shaped,,,,Fruits,,
,,,Lemon,,,,Fruits,,
,,,Peach(y),,,,Fruits,,
,,,the apple doesn't fall far from the tree,,,,Fruits,,
,,,The apple of your eye,,,,Fruits,,
,,,Ball and Chain,,,,Love,,
,,,Be An Item,,,,Love,,
,,,Be Head Over Heels (In Love),,,Body Parts,Love,,
,,,Be Lovey-Dovey,,,,Love,,
,,,Birds of a feather flock together,"beings (typically humans) of similar type, interest, personality, character, or other distinctive attribute tend to mutually associate.",,Animals,Love,,
,,,Blind Date,,,Body Parts,Love,,
,,,Fall In Love With Somebody,,,,Love,,
,,,Love At First Sight,,,,Love,,
,,,Match Made In Heaven,,,,Love,,
,,,Tie The Knot,,,,Love,,
,,,A penny for your thoughts,Tell me what you're thinking,by itself,,Money,,
,,,Buy Time,,,Time,Money,,
,,,Beat around the bush,"Avoid saying what you mean, usually because it is uncomfortable",as part of a sentence,,Nature,,
,,,Break the ice,Make people feel more comfortable,as part of a sentence,,Nature,,
,,,Come rain or shine,No matter what,as part of a sentence,Nature,Nature,,
,,,Every cloud has a silver lining,Good things come after bad things,by itself,,Nature,,
,,,Fight fire with fire,,,Nature,Nature,,
,,,Get a second wind,Have more energy after having been tired,as part of a sentence,Nature,Nature,,
,,,Catch wind of something,Hear news of something secret,as part of a sentence,Nature,Nature,,
,,,Go down in flames,Fail spectacularly,as part of a sentence,,Nature,,
,,,Have your head in the clouds,Not be concentrating,as part of a sentence,Nature,Nature,,
,,,In the dark,,,Nature,Nature,,
,,,Know which way the wind is blowing,Understand the situation (usually negative),as part of a sentence,Nature,Nature,,
,,,On cloud nine,Very happy,as part of a sentence,Nature,Nature,,
,,,On thin ice,"On probation. If you make another mistake, there will be trouble.",as part of a sentence,Nature,Nature,,
,,,Once in a blue moon,Rarely,as part of a sentence,,Nature,,
,,,Put something on ice,Put a projet on hold,as part of a sentence,,Nature,,"Disclaimer * some of these idioms may be offensive to certain groups of people. Translations can often be lost in time, and as we mature as a society, we try and adapt our language to our ever-maturing respect for people of all races, genders, ethnicities, etc."
,,,Rain on someone's parade,To spoil something,as part of a sentence,Nature,Nature,,
,,,Run like the wind,Run fast,as part of a sentence,Nature,Nature,,
,,,Saving for a rainy day,Saving money for later,as part of a sentence,Nature,Nature,,
,,,Shoot for the stars,,,Nature,Nature,,
,,,Take a rain check,Postpone a plan,as part of a sentence,Nature,Nature,,
,,,A snowball effect,Events have momentum and build upon each other,as part of a sentence,,Nature,,
,,,A snowball's chance in hell,No chance at all,as part of a sentence,,Nature,,
,,,As right as rain,Perfect,as part of a sentence,,Nature,,
,,,Calm before the storm,"Something bad is coming, but right now it's calm",as part of a sentence,Nature,Nature,,
,,,A rising tide lifts all ships,,,,Nature,,
,,,Be/feel under the Nature,,,,Nature,,
,,,Soak up the sun,,,,Nature,,
,,,The calm before the storm,,,,Nature,,
,,,The tides are turning,,,,Nature,,
,,,When it rains it pours,,,,Nature,,
,,,All in one piece,,,,Number,,
,,,A million and one,,,,Numbers,,
,,,Back to square one,,,,Numbers,,
,,,Six feet under,,,,Numbers,,
,,,"Six of one, half dozen of another",,,,Numbers,,
,,,Do unto others as you would have them do unto you,"Treat people fairly. Also known as ""The Golden Rule""",by itself,Advice,Religion,,
,,,A stitch in time saves nine,Fix the problem now because it will get worse later,by itself,,Time,,
,,,Call it a day,Stop working on something,as part of a sentence,,Time,,
,,,No time like the present,,,,Time,,
,,,At the eleventh hour,,,,Time,,
,,,Better late than never,,,,Time,,
,,,Do time,,,,Time,,
,,,Third time’s a charm,,,,Time,,
,,,Time flies,,,,Time,,
,,,A diamond in the rough,,,,,,
,,,A penny saved is a penny earned,Money you save today you can spend later,by itself,,,,
,,,A perfect storm,the worst possible situation,as part of a sentence,Weather,Nature,,
4,4,St,A stone's throw (away),a short distance,as part of a sentence,noun,action,,
,,,Actions speak louder than words,Believe what people do and not what they say,by itself,,,,
,,,Add insult to injury,To make a bad situation worse,as part of a sentence,,,,
,,,Better Safe than Sorry,,,,,,
,,,Burn bridges,Destroy relationships,as part of a sentence,,,,
,,,Cut somebody some slack,Don't be so critical,as part of a sentence,,,,
,,,Cutting corners,Doing something poorly in order to save time or money,as part of a sentence,,,,
,,,Easy does it,Slow down,by itself,,,,
,,,Familiarity breeds contempt,The better you know someone the less you like him,by itself,,,,
,,,Fit as a fiddle,In good health,as part of a sentence,,,,
,,,Fortune favours the bold,Take risks,by itself,,,,
,,,Get your act together,Work better or leave,by itself,,,,
,,,Give someone the benefit of the doubt,Trust what someone says,as part of a sentence,,,,
,,,Go back to the drawing board,Start over,as part of a sentence,,,,
,,,Hang in there,Don't give up,by itself,,,,
,,,Haste makes waste,You'll make mistakes if you rush through something,by itself,,,,
,,,He who laughs last laughs loudest,I'll get you back for what you did,by itself,,,,
,,,He's a chip off the old block,The son is like the father,by itself,,,,
,,,He's off his rocker,He's crazy,by itself,,,,
,,,on the fence (about something),can't make up his mind,by itself,,,,
,,,Hit the sack,Go to sleep,as part of a sentence,,,,
,,,Ignorance is bliss,You're better off not knowing,by itself,,,,
,,,It ain't over till the fat lady sings,This isn't over yet,by itself,,,,
,,,It takes one to know one,You're just as bad as I am,by itself,,,,
,,,It takes two to tango,One person alone isn't responsible. Both people are involved.,by itself,,,,
,,,It's not rocket science,It's not complicated,by itself,,,,
,,,Jump on the bandwagon,"Follow a trend, do what everyone else is doing",as part of a sentence,,,,
,,,Leave no stone unturned,Look everywhere,as part of a sentence,,,,
,,,Let someone off the hook,To not hold someone responsible for something,as part of a sentence,,,,
,,,Like riding a bike,Something you never forget how to do,as part of a sentence,,,,
,,,You live and learn,I made a mistake,by itself,,,,
,,,Miss the boat,It's too late,as part of a sentence,,,,
,,,"No pain, no gain",You have to work for what you want,by itself,,,,
,,,On the ball,Doing a good job,as part of a sentence,,,,
,,,Play devil's advocate,"To argue the opposite, just for the sake of argument",as part of a sentence,,,,
,,,Pull yourself together,Calm down,by itself,,,,
,,,Shape up or ship out,Work better or leave,by itself,,,,
,,,So far so good,Things are going well so far,by itself,,,,
,,,Speak of the devil,The person we were just talking about showed up!,by itself,,,,
,,,That ship has sailed,It's too late,by itself,,,,
,,,That's the last straw,My patience has run out,by itself,,,,
,,,The ball is in your court,It's your decision,by itself,,,,
,,,The best of both worlds,An ideal situation,as part of a sentence,,,,
,,,The best thing since sliced bread,A really good invention,as part of a sentence,,,,
,,,The devil is in the details,"It looks good from a distance, but when you look closer, there are problems",by itself,,,,
,,,The early bird gets the worm,The first people who arrive will get the best stuff,by itself,,,,
,,,The elephant in the room,"The big issue, the problem people are avoiding",as part of a sentence,,,,
,,,The pot calling the kettle black,Someone criticizing someone else he is just as bad,as part of a sentence,,,,
,,,The whole nine yards,"Everything, all the way.",as part of a sentence,,,,
,,,There are clouds on the horizon,Trouble is coming,by itself,,,,
,,,There are other fish in the sea,It's ok to miss this opportunity. Others will arise.,by itself,,,,
,,,There's a method to his madness,He seems crazy but actually he's clever,by itself,,,,
,,,There's no such thing as a free lunch,Nothing is entirely free,by itself,,,,
,,,Those who live in glass houses shouldn't throw stones,People who are morally questionable shouldn't criticize others,by itself,,,,
,,,Through thick and thin,In good times and in bad times,as part of a sentence,,,,
,,,Throw caution to the wind,Take a risk,as part of a sentence,,,,
,,,Time flies when you're having fun,You don't notice how long something lasts when it's fun,by itself,,,,
,,,Time is money,Work quickly,by itself,,,,
,,,To get bent out of shape,To get upset,as part of a sentence,,,,
,,,To make matters worse,Make a problem worse,as part of a sentence,,,,
,,,Under the Nature,Sick,as part of a sentence,,,,
,,,"Waste not, want not",Don't waste things and you'll always have enough,by itself,,,,
,,,Water under the bridge,,,,,,
,,,We see eye to eye,We agree,by itself,,,,
,,,We'll cross that bridge when we come to it,Let's not talk about that problem right now,by itself,,,,
,,,Nature the storm,Go through something difficult,as part of a sentence,,,,
,,,Well begun is half done,Getting a good start is important,by itself,,,,
,,,When it rains it pours,Everything is going wrong at once,by itself,,,,
,,,Wrap your head around something,Understand something complicated,as part of a sentence,,,,
,,,You can catch more flies with honey than you can with vinegar,You'll get what you want by being nice,by itself,,,,
,,,"You can lead a horse to water, but you can't make him drink",You can't force someone to make the right decision,by itself,,,,
,,,You can say that again,"That's true, I agree",by itself,,,,
,,,You can't have your cake and eat it too,You can't have everything,by itself,,,,
,,,You can't judge a book by its cover,"This person or thing may look bad, but it's good inside",by itself,,,,
,,,You can't make an omelet without breaking some eggs,There's always a cost to doing something,by itself,,,,
,,,Your guess is as good as mine,I have no idea,by itself,,,,
3,3,Sd,Spitting Distance,a close distance,as part of a sentence,"[""noun"", ""informal""]",,,
